"Cat","Slug","Action","NewName","Folder","File","Caption","How"
"cafes","ristr8to","skip:dup of ristr8to-1.jpg","","Food 2025","SEA25-0802.jpg","Chiang Mai - Ristr8to","exact"
"restaurants","salsa-kitchen","skip:dup of salsa-kitchen-1.jpg","","Food 2024","TH24-0233.jpg","Chiang Mai - Salsa Kitchen","exact"
"street-food","sorn-chan","skip:dup of sorn-chan-1.jpg","","Food 2024","TH24-0082.jpg","Chiang Mai - Sorn Chan","exact"
"street-food","sorn-chan","skip:dup of sorn-chan-2.jpg","","Food 2024","TH24-0083.jpg","Chiang Mai - Sorn Chan","exact"
"street-food","sorn-chan","skip:dup of sorn-chan-3.jpg","","Food 2024","TH24-0084.jpg","Chiang Mai - Sorn Chan","exact"
"street-food","sorn-chan","skip:dup of sorn-chan-main.jpg","","Food 2024","TH24-0085.jpg","Chiang Mai - Sorn Chan","exact"
"street-food","sorn-chan","skip:dup of sorn-chan-main.jpg","","more restos 2020-2026","TH24-0085.jpg","Chiang Mai - Sorn Chan","exact"
"street-food","sp-chicken","skip:dup of sp-chicken-1.jpg","","Food 2024","TH24-0092.jpg","Chiang Mai - SP Chicken","exact"
"street-food","sp-chicken","skip:dup of sp-chicken-2.jpg","","Food 2024","TH24-0093.jpg","Chiang Mai - SP Chicken","exact"
"street-food","sp-chicken","skip:dup of sp-chicken-3.jpg","","Food 2024","TH24-0094.jpg","Chiang Mai - SP Chicken","exact"
"street-food","sp-chicken","skip:dup of sp-chicken-4.jpg","","Food 2024","TH24-0197.jpg","Chiang Mai - SP Chicken","exact"
"street-food","sp-chicken","skip:dup of sp-chicken-5.jpg","","Food 2025","SEA25-0703.jpg","Chiang Mai - SP Chicken","exact"
"cafes","stories","skip:dup of stories-1.jpg","","Food 2024","TH24-0089.jpg","Chiang Mai - Stories","exact"
"cafes","stories","skip:dup of stories-2.jpg","","Food 2024","TH24-0170.jpg","Chiang Mai - Stories","exact"
"restaurants","wine-connection","import","wine-connection-2.jpg","Food 2017","Thai17-0127.jpg","Chiang Mai - Wine Connection @ Promenada","near-miss"
"cafes","woo-cafe","skip:dup of woo-cafe-1.jpg","","Food 2017","Thai17-0198.jpg","Chiang Mai - Woo Café","exact"
"street-food","yuis-eatery","skip:dup of yuis-eatery-1.jpg","","Food 2024","TH24-0187.jpg","Chiang Mai - Yuis Eatery","exact"
"street-food","yuis-eatery","skip:dup of yuis-eatery-2.jpg","","Food 2024","TH24-0188.jpg","Chiang Mai - Yuis Eatery","exact"
