"City","Slug","Action","Src","Folder","File","NewName","Caption"
"chiang-mai","khao-soi-mae-manee","dup-skip","D:\Google Photos\Food 2024\TH24-0232.jpg","Food 2024","TH24-0232.jpg","","Chiang Mai - Khao Soi Mae Manee"
"chiang-mai","khao-soi-mae-manee","import","D:\Google Photos\more restos 2020-2026\TH24-0231.jpg","more restos 2020-2026","TH24-0231.jpg","khao-soi-mae-manee-2.jpg","Chiang Mai - Khao Soi Mae Manee"
"chiang-mai","salsa-kitchen","dup-skip","D:\Google Photos\Food 2024\TH24-0233.jpg","Food 2024","TH24-0233.jpg","","Chiang Mai - Salsa Kitchen"
"chiang-mai","huen-muan-jai","dup-skip","D:\Google Photos\Food 2024\TH24-0241.jpg","Food 2024","TH24-0241.jpg","","Chiang Mai - Huen Muan Jai"
"chiang-mai","okada-izakaya","dup-skip","D:\Google Photos\Food 2024\TH24-0245.jpg","Food 2024","TH24-0245.jpg","","Chiang Mai - Okada Izakaya"
"chiang-mai","okada-izakaya","dup-skip","D:\Google Photos\Food 2024\TH24-0246.jpg","Food 2024","TH24-0246.jpg","","Chiang Mai - Okada Izakaya"
"chiang-mai","okada-izakaya","dup-skip","D:\Google Photos\Food 2024\TH24-0247.jpg","Food 2024","TH24-0247.jpg","","Chiang Mai - Okada Izakaya"
"chiang-mai","okada-izakaya","dup-skip","D:\Google Photos\Food 2024\TH24-0248.jpg","Food 2024","TH24-0248.jpg","","Chiang Mai - Okada Izakaya"
"chiang-mai","khao-soi-maesai","dup-skip","D:\Google Photos\Food 2025\SEA25-0721.jpg","Food 2025","SEA25-0721.jpg","","Chiang Mai - Khao Soi Maesai"
"chiang-mai","khao-soi-maesai","dup-skip","D:\Google Photos\Food 2025\SEA25-0722.jpg","Food 2025","SEA25-0722.jpg","","Chiang Mai - Khao Soi Maesai"
"chiang-mai","daruma-izakaya","dup-skip","D:\Google Photos\Food 2025\SEA25-0736.jpg","Food 2025","SEA25-0736.jpg","","Chiang Mai - Daruma Izakaya"
